所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
株式会社インテリア天龍ショールーム,静岡市清水区山原３２１番地,株式会社インテリア天龍ショールーム,2,0,物品販売店舗
株式会社オフ・コーポレーション倉庫,静岡市清水区山原３２２番地,株式会社オフ・コーポレーション倉庫,2,0,倉庫
株式会社　オフコーポレーション,静岡市清水区山原３２３番地の１,株式会社　オフコーポレーション,2,0,倉庫
静岡三菱ふそう社宅,静岡市清水区山原３２４番地,静岡三菱ふそう社宅,2,0,共同住宅
清水農業協同組合山原倉庫,静岡市清水区山原３２７番地,清水農業協同組合山原倉庫,1,0,倉庫
株式会社　藤商,静岡市清水区山原３３０番地の１,株式会社　藤商,2,0,倉庫
パ－クサイドハイツ南,静岡市清水区山原３３８番地,パ－クサイドハイツ南,2,0,共同住宅
清水電装株式会社　第３工場,静岡市清水区山原３３番地の１,清水電装株式会社　第３工場,2,0,作業場
前畑モータース,静岡市清水区山原３４５番地の３４,前畑モータース,2,0,作業場
メゾン山原,静岡市清水区山原３４５番地の８,メゾン山原,2,0,共同住宅
パークサイドハイツ北,静岡市清水区山原３７２番地,パークサイドハイツ北,2,0,共同住宅
シティーハイツジュン,静岡市清水区山原３８２番地,シティーハイツジュン,2,0,共同住宅
ＮＧＭ,静岡市清水区山原３９２番地の１,ＮＧＭ,3,0,共同住宅
リヴェエールＮＡ棟・Ｂ棟,静岡市清水区山原４０１番地,リヴェエールＮＡ棟,2,0,共同住宅
リヴェエールＮＡ棟・Ｂ棟,静岡市清水区山原４０１番地,リヴェエールＮＢ棟,2,0,共同住宅
シャトー・ドウ・ノール,静岡市清水区山原４２３番地,シャトー・ドウ・ノール,3,0,共同住宅
山原オートサービス,静岡市清水区山原４４８番地の１,山原オートサービス,1,0,作業場
株式会社十字屋紙器　山原工場,静岡市清水区山原４８１番地の１１,株式会社十字屋紙器　山原工場,2,0,作業場
山原自治会館,静岡市清水区山原４８８番地の１,山原自治会,2,0,集会場
長福寺,静岡市清水区山原５５番地,長福寺,1,0,非特定複合用途
ＮＴＴ山原無線中継所　（２）,静岡市清水区山原６１３番地,ＮＴＴ山原無線中継所　（２）,2,0,(１５)項  その他
ＮＴＴ山原無線中継所　（２）,静岡市清水区山原６１３番地,ＮＴＴ山原無線中継所（３）,2,0,(１５)項  その他
清水一般廃棄物処理業協同組合,静岡市清水区山原８３１番地の２,清水一般廃棄物処理業協同組合,2,0,事務所
有限会社エーシーピー物流,静岡市清水区山原８３１番地の７,有限会社エーシーピー物流,2,0,作業場
有限会社エーシーピー物流,静岡市清水区山原８３１番地の７,有限会社エーシーピー物流,1,0,作業場
特別養護老人ﾎｰﾑあすなろの家･ｹｱﾊｳｽしみず,静岡市清水区山原８７１番地の２,特別養護老人ﾎｰﾑあすなろの家・ｹｱﾊｳｽしみず,3,0,特定複合用途
山切ゴルフガーデン,静岡市清水区山切１２番地,山切ゴルフガーデン,2,0,(１５)項  その他
清水ナショナルトレーニングセンター,静岡市清水区山切１４８７番地の１,清水ナショナルトレーニングセンター,4,1,特定複合用途
清水ナショナルトレーニングセンター,静岡市清水区山切１４８７番地の１,ナショナルトレニーングセンター東スタンド,1,0,観覧場
清水ナショナルトレーニングセンター,静岡市清水区山切１４８７番地の１,ナショナルトレーニングセンター西スタンド,1,0,観覧場
清水ナショナルトレーニングセンター,静岡市清水区山切１４８７番地の１,清水ナショナルトレーニングセンター倉庫,2,0,倉庫
株式会社　マキタ工業,静岡市清水区山切１５番地の１,株式会社　マキタ工業,2,0,作業場
有限会社清水機工サービス,静岡市清水区山切１６番地の２,有限会社清水機工サ－ビス,1,0,作業場
牧野貸倉庫（興津貨物自動車運輸株式会社　,静岡市清水区山切２０３番地の１８,牧野貸倉庫（興津貨物自動車運輸株式会社　,1,0,倉庫
牧野貸倉庫（興津貨物自動車運輸株式会社　,静岡市清水区山切２０３番地の１８,牧野貸倉庫（興津貨物自動車運輸株式会社　,1,0,倉庫
有限会社曽根木型,静岡市清水区山切２３番地の１,（有）曽根木型,3,0,作業場
ユウセイ樹脂株式会社,静岡市清水区山切２３番地の３,ユウセイ樹脂株式会社　工場棟,2,0,工場
ユウセイ樹脂株式会社,静岡市清水区山切２３番地の３,ユウセイ樹脂株式会社　資材置場棟,1,0,倉庫
ユウセイ樹脂株式会社,静岡市清水区山切２３番地の３,ユウセイ樹脂株式会社　金型置場棟,1,0,倉庫
株式会社　テクノミックスメンテ,静岡市清水区山切２７番地の１０,株式会社　テクノミックスメンテ,2,0,倉庫
興津貨物自動車運輸株式会社,静岡市清水区山切３０番地の３,興津貨物自動車運輸株式会社,1,0,倉庫
山切自治会館,静岡市清水区山切４１０番地の３,山切自治会館,2,0,集会場
フジ自動車工業,静岡市清水区山切４２０番地,フジ自動車工業　,2,0,作業場
株式会社　常伸製作所　倉庫,静岡市清水区山切４４番地の２３,株式会社　常伸製作所　倉庫,2,0,倉庫
株式会社　テクノミックスメンテ　清水工場,静岡市清水区山切４７番地の８,株式会社　テクノミックスメンテ清水工場,3,0,工場
株式会社篠田工業,静岡市清水区山切５０４番地の１,株式会社篠田工業,2,0,作業場
ケーワイエンジニアリング有限会社,静岡市清水区山切６３９番地の３,ケーワイエンジニアリング有限会社,1,0,作業場
株式会社静岡マテリアル,静岡市清水区山切６４６番地の２,株式会社静岡マテリアル,1,0,工場
nets１０１株式会社,静岡市清水区山切９７９番地の５,nets１０１株式会社　（事務所棟）,2,0,作業場
nets１０１株式会社,静岡市清水区山切９７９番地の５,nets１０１株式会社　（作業所棟）,2,0,作業場
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社　宍原事業所　ピット,1,0,作業場
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社　宍原事業所　倉庫　,1,0,倉庫
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社宍原事業所屋内貯蔵所Ｂ棟,1,0,倉庫
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社宍原事業所屋内貯蔵所Ａ棟,1,0,倉庫
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社　宍原事業所　荷捌所,1,0,作業場
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社宍原事業所　プラント上屋,1,0,作業場
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社堆肥化施設建設工事Ａ棟,1,0,作業場
丸徳商事有限会社　宍原事業所,静岡市清水区宍原,丸徳商事有限会社堆肥化施設建設工事Ｂ棟,1,0,作業場
株式会社　八十八工業　第二工場,静岡市清水区宍原,株式会社　八十八工業　第二工場,2,0,工場
大場工業,静岡市清水区宍原１０８３番地,大場工業,1,0,作業場
山田銘建倉庫,静岡市清水区宍原１１９８番地の１,山田銘建倉庫,2,0,倉庫
福聚院,静岡市清水区宍原１２１９番地,福聚院,2,0,寺院
株式会社　八十八工業　第一工場,静岡市清水区宍原１３０番地の１０,株式会社　八十八工業　第一工場,3,0,作業場
静北技研,静岡市清水区宍原１３１２番地の１,静北技研,1,0,作業場
ＣＡＳＡ　ｄｅ　ＦＯＲＥＳＴＡ,静岡市清水区宍原１３８６番地の１,ＣＡＳＡ　de  ＦＯＲＥＳＴＡ,2,0,共同住宅
