所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
ブルーグレイＡＯＫＩ,静岡市駿河区西島６３０番地の１,ブルーグレイＡＯＫⅠ,2,0,共同住宅
野村アパート,静岡市駿河区西島６３８番地,野村アパート,2,0,共同住宅
㈱静岡読売インフォメーションサービス,静岡市駿河区西島６４５番地の１,㈱静岡読売インフォメーションサービス,1,0,作業場
宗教法人　光増寺,静岡市駿河区西島６８番地の１,宗教法人　光増寺,2,0,寺院
ペイ・ド・メルヴェイユ,静岡市駿河区西島６９３番地,ペイ・ド・メルヴェイユ,3,0,共同住宅
株式会社　野村商店,静岡市駿河区西島７００番地の１,株式会社　野村商店　倉庫,1,0,倉庫
Ｆｒｉｅｎｄ　Ｓｈｉｐ　９９,静岡市駿河区西島７０６番地の１,Ｆｒｉｅｎｄ　Ｓｈｉｐ　９９,3,0,特定複合用途
株式会社日本プラスパー静岡営業所,静岡市駿河区西島７１０番地の１,株式会社日本プラスパー静岡営業所,2,0,倉庫
コーポアイランド,静岡市駿河区西島７１９番地,コ－ポアイランド,2,0,共同住宅
株式会社マルウ海野商店,静岡市駿河区西島７３７番地の１,株式会社マルウ海野商店,3,0,作業場
パナハイツ栗田,静岡市駿河区西島７４５番地の１,パナハイツ栗田,2,0,共同住宅
ｓaｎｄａｇ,静岡市駿河区西島７６１番地,ｓaｎｄａｇ,2,0,倉庫
静岡ロジスティック,静岡市駿河区西島７６５番地,静岡ロジスティック,4,0,(１５)項  その他
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業株式会社,2,0,事務所
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業株式会社第１工場,2,0,工場
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業株式会社食堂棟,2,0,倉庫
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）第３工場,2,0,工場
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）Ｃ倉庫,1,0,倉庫
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）Ｄ倉庫,1,0,倉庫
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）Ｅ倉庫,1,0,倉庫
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）Ｆ倉庫,1,0,倉庫
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業（株）第４工場,1,0,工場
花精化学工業株式会社,静岡市駿河区西島７６８番地,花精化学工業株式会社　製品倉庫,2,0,倉庫
大和コーポ,静岡市駿河区西島７７３番地,大和コーポ,2,0,共同住宅
株式会社　メイクス,静岡市駿河区西島７８０番地,株式会社　メイクス,1,0,作業場
株式会社昭和パッケージ,静岡市駿河区西島７８２番地,株式会社昭和パッケージ,2,0,作業場
株式会社昭和パッケージ,静岡市駿河区西島７８２番地,株式会社昭和パッケージ,2,0,事務所
北恵株式会社静岡営業所,静岡市駿河区西島７８９番地の１,北恵株式会社　静岡営業所,2,0,倉庫
株式会社　大貴商会,静岡市駿河区西島７９０番地の１,株式会社　大貴商会,2,0,倉庫
株式会社インターナショナルオート,静岡市駿河区西島７９１番地,株式会社インターナショナルオート,1,0,物品販売店舗
マルイ稲垣塗装有限会社,静岡市駿河区西島７９５番地の１,マルイ稲垣塗装有限会社,2,0,工場
ゆうゆう,静岡市駿河区西島７９６番地の１,ゆうゆう,2,0,障害者共同生活援助
有限会社　清水紙工,静岡市駿河区西島８００番地の１,有限会社　清水紙工,2,0,工場
有限会社山照製作所,静岡市駿河区西島８０２番地の１,有限会社山照製作所,2,0,作業場
静岡ラムバー株式会社西島工場,静岡市駿河区西島８１４番地,静岡ラムバー株式会社　西島工場,2,0,作業場
株式会社静岡コーキング工業,静岡市駿河区西島８２１番地の１,株式会社静岡コーキング工業,3,0,(１５)項  その他
株式会社　サンキ,静岡市駿河区西島８２６番地の１,株式会社　サンキ,2,0,作業場
オ－・ジ－株式会社　富士支店静岡営業所,静岡市駿河区西島８４１,オージ株式会社　富士支店静岡営業所,1,0,倉庫
オ－・ジ－株式会社　富士支店静岡営業所,静岡市駿河区西島８４１,事務所・倉庫,1,0,事務所
オ－・ジ－株式会社　富士支店静岡営業所,静岡市駿河区西島８４１,倉庫,2,0,倉庫
オ－・ジ－株式会社　富士支店静岡営業所,静岡市駿河区西島８４１,倉庫,1,0,倉庫
オー・ジー株式会社　富士支店　静岡営業所,静岡市駿河区西島８４１番地,オージー㈱富士支店静岡営業所倉庫３,2,0,倉庫
大場ビル,静岡市駿河区西島８４７番地の１,大場ビル,3,0,特定複合用途
しずてつストア西島店,静岡市駿河区西島８５１番地の１,しずてつストア西島店,1,0,物品販売店舗
株式会社　菱栄　西島工場,静岡市駿河区西島８５８番地の１,株式会社　菱栄　西島工場,1,0,作業場
マ・メゾン・クリタ,静岡市駿河区西島８５９番地,マ・メゾン・クリタ,2,0,共同住宅
株式会社ユウブツダン製造　倉庫,静岡市駿河区西島８６８番地の１,株式会社ユウブツダン製造　倉庫,2,0,倉庫
株式会社ユウブツダン製造　第二工場,静岡市駿河区西島８６９番地の１,株式会社ユウブツダン製造　第二工場,2,0,工場
有限会社　丸孝塗装,静岡市駿河区西島８７６番地の５,有限会社　丸孝塗装,2,0,非特定複合用途
わかばオート。,静岡市駿河区西島８７７番地の１,わかばオート。,2,0,作業場
株式会社　北関東クリーン社　静岡営業所,静岡市駿河区西島８８８番地,株式会社　北関東クリーン社　静岡営業所,1,0,倉庫
協伸工業株式会社　静岡営業所,静岡市駿河区西島８８８番地,協伸工業株式会社　静岡営業所,2,0,作業場
障害福祉サービス事業所　ゆいまある,静岡市駿河区西島８９２番地の１,障害福祉サービス事業所　ゆいまある,1,0,障害者就労継続支援
障害福祉サービス事業所　ゆいまある,静岡市駿河区西島８９２番地の１,ゆいまある　作業所棟,3,0,障害者就労継続支援
せいせいマンション,静岡市駿河区西島８９３番地の１,せいせいマンション,3,0,共同住宅
グレイシー西島,静岡市駿河区西島８９９番地の１,グレイシー西島,2,0,共同住宅
株式会社ユウブツダン製造　第一工場,静岡市駿河区西島９０６番地,株式会社ユウブツダン製造　第一工場,2,0,非特定複合用途
株式会社アトライズヨドカワ静岡営業所倉庫,静岡市駿河区西島９１０番地の１,株式会社アトライズヨドカワ静岡営業所,1,0,倉庫
株式会社アトライズヨドカワ静岡営業所倉庫,静岡市駿河区西島９１０番地の１,株式会社アトライズヨドカワ静岡営業所,1,0,倉庫
レオパレス・トッパン,静岡市駿河区西島９１２番地の２１,レオパレス・トッパン,2,0,共同住宅
クレセールＳＯＫＩ,静岡市駿河区西島９２６番地,クレセ－ルＳＯＫＩ,2,0,共同住宅
株式会社ユース,静岡市駿河区西島９７３番地の１,株式会社ユース,2,0,(１４)項  その他
櫻井商事運輸株式会社倉庫,静岡市駿河区西島９７３番地の４,櫻井商事運輸株式会社倉庫,1,0,倉庫
大森荘,静岡市駿河区西島９７８番地の１,大森荘,2,0,共同住宅
有限会社西島アルミ建工倉庫,静岡市駿河区西島９８５番地の６,有限会社西島アルミ建工倉庫,1,0,倉庫
有限会社　ビービー,静岡市駿河区西島９８９番地,有限会社　ビービー,2,0,倉庫
アクトレンタル西島倉庫,静岡市駿河区西島９９２番地の４,アクトレンタル西島倉庫,3,0,倉庫
西平松公民館,静岡市駿河区西平松１４７番地,西平松公民館,1,0,集会場
有限会社旭南高周波,静岡市駿河区西平松４６４番地の１,有限会社旭南高周波,2,0,作業場
マル友水産,静岡市駿河区西平松４８０番地の１,マル友水産,2,0,作業場
まる三水産,静岡市駿河区西平松４８４番地の１,まる三水産,2,0,作業場
神谷商店,静岡市駿河区西平松４８７番地の１,神谷商店,2,0,作業場
観音院,静岡市駿河区西平松６２番地の１,観音院,2,0,寺院
株式会社寿屋人形西脇工場,静岡市駿河区西脇１００番地,株式会社寿屋人形西脇工場,3,0,工場
ウェントワースＢ棟,静岡市駿河区西脇１０４６番地の１,ウェントワースＢ棟,2,0,共同住宅
ウェントワ－スＡ棟,静岡市駿河区西脇１０４６番地の２,ウェントワ－ス　Ａ棟,2,0,共同住宅
ウェントワースＣ棟,静岡市駿河区西脇１０４７番地の１,ウェントワースＣ棟,2,0,共同住宅
有限会社　西脇加工,静岡市駿河区西脇１０５２番地の１,有限会社　西脇加工,3,0,作業場
サウスガ－デン西脇,静岡市駿河区西脇１０５２番地の１,サウスガ－デン西脇,5,0,特定複合用途
株式会社松木屋西脇工場,静岡市駿河区西脇１０５８番地の１,株式会社松木屋西脇工場,2,0,作業場
サーパス西脇,静岡市駿河区西脇１０７９番地の１,サ－パス西脇,7,0,共同住宅
有限会社　やぎ工芸,静岡市駿河区西脇１０８２番地の１,有限会社　やぎ工芸,2,0,倉庫
名古屋通信工業株式会社静岡営業所,静岡市駿河区西脇１０８３番地の１,名古屋通信工業株式会社静岡営業所,1,0,倉庫
南條工業株式会社,静岡市駿河区西脇１０８６番地の１,南條工業株式会社,2,0,事務所
南條工業株式会社,静岡市駿河区西脇１０８６番地の１,南條工業株式会社,2,0,事務所
南條工業株式会社,静岡市駿河区西脇１０８６番地の１,南條工業株式会社,1,0,(１５)項  その他
有限会社エージーワークス,静岡市駿河区西脇１０８７番地の１,株式会社エージーワ－クス,1,0,作業場
扶桑建設工業株式会社　静岡営業所,静岡市駿河区西脇１０８８番地の１,扶桑建設工業株式会社　静岡営業所,1,0,倉庫
トレジャーオート,静岡市駿河区西脇１０８８番地の３,トレジャーオート,2,0,作業場
株式会社　冨士大,静岡市駿河区西脇１０９７番地,株式会社　冨士大　,1,0,倉庫
ラフィナートⅠ,静岡市駿河区西脇１０９９番地の１,ラフィナート１,4,0,共同住宅
エステートピアＵ,静岡市駿河区西脇１１０２番地の１,エステートピアＵ,2,0,共同住宅
米久デリカフーズ株式会社　社員寮,静岡市駿河区西脇１１０５番地の１,米久デリカ株式会社　社員寮,3,0,寄宿舎
コーポ西脇　南棟,静岡市駿河区西脇１１０６番地の１,コーポ西脇　南棟,3,0,共同住宅
コーポ西脇　北棟,静岡市駿河区西脇１１０８番地の１,コーポ西脇　北棟,3,0,共同住宅
ルピナス　,静岡市駿河区西脇１１１２番地の３,ルピナス　,2,0,共同住宅
カーサ西脇,静岡市駿河区西脇１１１６番地の１,カーサ西脇,3,0,共同住宅
有限会社　アイ・エスパック,静岡市駿河区西脇１１１７番地の１,有限会社　アイ・エスパック,1,0,倉庫
Ｎｅｗ　Ｍａｒｉｃｈ,静岡市駿河区西脇１１１９番地の１,Ｎｅｗ　Ｍａｒｉｃｈ,3,0,共同住宅
カーサプリート,静岡市駿河区西脇１１２０番地の１,カーサプリート,2,0,共同住宅
サンライフ西脇Ａ棟,静岡市駿河区西脇１１２２番地の１,サンライフ西脇Ａ棟,2,0,共同住宅
サンライフ西脇Ｂ棟,静岡市駿河区西脇１１２２番地の１,サンライフ西脇Ｂ棟,2,0,共同住宅
サンライフ西脇Ｃ棟,静岡市駿河区西脇１１２２番地の１,サンライフ西脇Ｃ棟,2,0,共同住宅
サンライフ西脇Ｄ棟,静岡市駿河区西脇１１２２番地の１,サンライフ西脇Ｄ棟,2,0,共同住宅
サンライフ西脇Ｅ棟,静岡市駿河区西脇１１２２番地の２番３,サンライフ西脇Ｅ棟,2,0,共同住宅
ファミール西脇,静岡市駿河区西脇１１３８番地,ファミール西脇,2,0,共同住宅
静南アパ－ト,静岡市駿河区西脇１１４２番地の２,静南アパ－ト,2,0,特定複合用途
エクセルハイム,静岡市駿河区西脇１１４５番地の２,エクセルハイム,2,0,共同住宅
エクセルハイムⅡ,静岡市駿河区西脇１１４８番地,エクセルハイムⅡ,2,0,共同住宅
株式会社日新堂倉庫,静岡市駿河区西脇１１５７番地,株式会社日新堂倉庫,1,0,倉庫
ハイムアオイ,静岡市駿河区西脇１１５９番地の３,ハイムアオイ,3,0,倉庫
ラポール川原・みなみ,静岡市駿河区西脇１１６２番地の３,ラポール川原・みなみ,2,0,児童養護施設
株式会社　櫻屋,静岡市駿河区西脇１１６３番地の３,株式会社　櫻屋,2,0,作業場
第２タツミハイツ,静岡市駿河区西脇１１６７番地の６,第２タツミハイツ,2,0,共同住宅
株式会社片岡屋西脇サービスセンター,静岡市駿河区西脇１１７０番地,株式会社片岡屋　西脇サービスセンター,1,0,倉庫
ときわマンション,静岡市駿河区西脇１１７３番地の１,ときわマンション,3,0,共同住宅
株式会社サンダイ,静岡市駿河区西脇１１８０番地の１,株式会社サンダイ,2,0,倉庫
静岡矢崎サービス株式会社,静岡市駿河区西脇１１８２番地の１,静岡矢崎サービス株式会社,2,0,作業場
萩原　一義　貸倉庫　Ａ棟Ｂ棟,静岡市駿河区西脇１１８４番地の１,Ａ棟　イダリホームズ株式会社静岡営業所,2,0,倉庫
山交ライン株式会社,静岡市駿河区西脇１１８５番地の１,山交ライン株式会社,3,0,事務所
ホワイトテラス西脇,静岡市駿河区西脇１１８６番地の１,ホワイトテラス西脇,2,0,共同住宅
株式会社　タクシン,静岡市駿河区西脇１１９１番地,株式会社　タクシン,2,0,倉庫
株式会社　ヤマユ　倉庫,静岡市駿河区西脇１１９６番地の１,株式会社　ヤマユ　倉庫,2,0,倉庫
西脇複合店舗ビル,静岡市駿河区西脇１１番地の１,西脇複合店舗ビル,2,0,特定複合用途
サンエステートピア　Ｂ棟,静岡市駿河区西脇１２１１番地の１,サンエステートピア　Ｂ棟,2,0,共同住宅
サンエステートピア　Ａ棟,静岡市駿河区西脇１２１４番地の１,サンエステートピア　Ａ棟,2,0,共同住宅
メゾンジュイール,静岡市駿河区西脇１２１６番地,メゾンジュイール,2,0,共同住宅
有限会社　第一写真製版所,静岡市駿河区西脇１２３３番地,有限会社　第一写真製版所,1,0,作業場
安間塗装工芸,静岡市駿河区西脇１２４７番地の１,安間塗装工芸,2,0,作業場
リヴェール,静岡市駿河区西脇１２５５番地の１,リヴェールＡ,2,0,共同住宅
リヴェール,静岡市駿河区西脇１２５５番地の１,リヴェールＢ,2,0,共同住宅
リヴェール,静岡市駿河区西脇１２５５番地の１,リヴェールＣ,2,0,共同住宅
ドミール西脇　Ｂ棟,静岡市駿河区西脇１２６４番地の１,ドミール西脇　Ｂ棟,2,0,共同住宅
ドミール西脇　Ｃ棟,静岡市駿河区西脇１２６４番地の１,ドミール西脇　Ｃ棟,2,0,共同住宅
アークＵ２,静岡市駿河区西脇１２６９番地の１,アークＵ２,3,0,共同住宅
ゴンダゴム商事株式会社,静岡市駿河区西脇１２７１番地,ゴンダゴム商事株式会社,2,0,倉庫
萩清ビル,静岡市駿河区西脇１２７５番地の１,萩清ビル,2,0,事務所
株式会社セイオー　ダスキン静岡,静岡市駿河区西脇１２７６番地の１,株式会社セイオー　ダスキン静岡,3,0,倉庫
遠藤科学株式会社新館,静岡市駿河区西脇１２８０番地の１,遠藤科学株式会社新館,2,0,倉庫
ベルルながぶき,静岡市駿河区西脇１２８１番地の６,ベルルながぶき,2,0,共同住宅
マーヴィラス萩A棟,静岡市駿河区西脇１２８９番地の１,マーヴィラス萩Ａ棟,2,0,共同住宅
マーヴィラス萩B棟,静岡市駿河区西脇１２９０番地の１,マーヴィラス萩B棟,2,0,共同住宅
萩原鐐吉貸倉庫静南美術研究所,静岡市駿河区西脇１２９１番地の１,萩原鐐吉貸倉庫（静南美術研究所）,1,0,(１４)項  その他
萩原鐐吉貸倉庫静南美術研究所,静岡市駿河区西脇１２９１番地の１,静南美術研究所共同住宅,2,0,(１４)項  その他
遠藤科学株式会社,静岡市駿河区西脇１２９４番地,遠藤科学株式会社,2,0,事務所
ユートピア西脇,静岡市駿河区西脇１２９９番地の１,ユートピア西脇,2,0,共同住宅
ＧＲＡＮＤ　ＰＯＩＲＥ　Ⅲ,静岡市駿河区西脇１３１３番地の１,ＧＲＡＮＤ　ＰＯＩＲＥ　Ⅲ,4,0,共同住宅
なごやかレジデンス静岡西脇,静岡市駿河区西脇１３２６番地の１,なごやかレジデンス静岡西脇,3,0,特定複合用途
シャルム西脇Ａ棟,静岡市駿河区西脇１３３１番地の１,シャルム西脇Ａ棟,2,0,共同住宅
シャルム西脇Ｂ棟,静岡市駿河区西脇１３３１番地の１,シャルム西脇Ｂ棟,2,0,共同住宅
シュール　ド　コリーヌ,静岡市駿河区西脇１３３２番地の１,シュール　ド　コリーヌ,3,0,共同住宅
カーサ芝Ⅱ,静岡市駿河区西脇１３３５番地の１,カーサ芝Ⅱ,3,0,共同住宅
カーサ芝Ⅰ,静岡市駿河区西脇１３３７番地の１,カーサ芝Ⅰ,4,0,共同住宅
スター精密株式会社ドミトリー静岡,静岡市駿河区西脇１３４１番地の１,スター精密株式会社ドミトリー静岡,3,0,共同住宅
株式会社　青山工務店作業所,静岡市駿河区西脇１３４５番地の１,株式会社青山工務店,2,0,作業場
東海鉄道印刷株式会社倉庫,静岡市駿河区西脇１３５番地の１,東海鉄道印刷株式会社倉庫,1,0,倉庫
ウインドリッヂ,静岡市駿河区西脇１３６３番地,ウインドリッヂ,6,0,共同住宅
ジュールフェリエ,静岡市駿河区西脇１３番地の７,ジュールフェリエ,2,0,共同住宅
有限会社するが仏壇製作所,静岡市駿河区西脇１４６番地の２,有限会社するが仏壇製作所,2,0,工場
株式会社小野金属工業所,静岡市駿河区西脇１５３番地,株式会社小野金属工業所,2,0,工場
株式会社小野金属工業所,静岡市駿河区西脇１５３番地,株式会社小野金属工業所,2,0,工場
ＫＳ９２０,静岡市駿河区西脇１５番地の１,ＫＳ９２０,4,0,共同住宅
ＫＳ１３,静岡市駿河区西脇１５番地の３,ＫＳ１３,3,0,非特定複合用途
ＫＳ４１,静岡市駿河区西脇１５番地の３,ＫＳ４１,3,0,共同住宅
株式会社エビスサンプル本社工場,静岡市駿河区西脇１６５番地の１,株式会社エビスサンプル本社工場,5,0,工場
株式会社　塩川光明堂　第１倉庫,静岡市駿河区西脇１６６番地の１,株式会社　塩川光明堂　第１倉庫,2,0,倉庫
シンシア駿河デイサービス,静岡市駿河区西脇１６番地の４,シンシア駿河デイサービス,1,0,老人デイサービスセン
グランドメゾン西脇,静岡市駿河区西脇２１３番地の１,グランドメゾン西脇,2,0,共同住宅
有限会社　石垣金属,静岡市駿河区西脇２２５番地の２,有限会社石垣金属,2,0,作業場
有限会社　長田商店,静岡市駿河区西脇２３番地の１,有限会社　長田商店,3,0,非特定複合用途
株式会社　塩川光明堂　第６倉庫（北棟、南,静岡市駿河区西脇２５３番地の１,株式会社　塩川光明堂　第６倉庫（南棟）,3,0,倉庫
株式会社　塩川光明堂　第６倉庫（北棟、南,静岡市駿河区西脇２５３番地の１,株式会社　塩川光明堂　第６倉庫（北棟）,2,0,倉庫
株式会社青山工務店　建築部工事課,静岡市駿河区西脇２５８番地の２,株式会社青山工務店建築部工事課(倉庫棟),2,0,倉庫
株式会社駿河酒造場・ホシザキ湘南株式会社,静岡市駿河区西脇２５番地の１,株式会社駿河酒造場・ホシザキ湘南株式会社,2,0,非特定複合用途
株式会社　塩川光明堂,静岡市駿河区西脇２６３番地の１,株式会社　塩川光明堂,2,0,工場
有限会社しずおかタオル,静岡市駿河区西脇２８０番地,有限会社しずおかタオル,2,0,作業場
有限会社しずおかタオル,静岡市駿河区西脇２８０番地,有限会社しずおかタオル,1,0,倉庫
有限会社　ディアス,静岡市駿河区西脇２８９番地の１,有限会社　ディアス,2,0,工場
グラン・ディアス,静岡市駿河区西脇２８９番地の２,グラン・ディアス,2,0,共同住宅
静岡市農業協同組合大里支店,静岡市駿河区西脇２８番地の１,静岡市農業協同組合大里支店,2,0,銀行・証券会社等
カーサ芝Ⅲ,静岡市駿河区西脇２９０番地の２,カーサ芝Ⅲ,4,0,共同住宅
Shine Well-Ⅱ,静岡市駿河区西脇２９１番地の１,Shine Well-Ⅱ,3,0,共同住宅
日食商事株式会社　西脇店,静岡市駿河区西脇２９４番地の３,日食商事株式会社　西脇店,2,0,物品販売店舗
株式会社　ハル・インダストリ,静岡市駿河区西脇２９６番地の１,株式会社　ハル・インダストリ,3,0,倉庫
西脇マンション,静岡市駿河区西脇２９７番地の１,西脇マンション,3,0,共同住宅
医療法人　萩原医院,静岡市駿河区西脇２９番地の１,医療法人社団秀慈会　萩原医院,2,0,特定複合用途
マミヤンアロエ株式会社,静岡市駿河区西脇３００番地の１,マミヤンアロエ株式会社,4,0,作業場
１００えんハウスレモン　西脇店,静岡市駿河区西脇３０２番地,100えんハウスレモン　西脇店,2,0,特定複合用途
ラフィナートⅢ,静岡市駿河区西脇３０８番地の２,ラフィナートⅢ,4,0,共同住宅
ウエルシア静岡西脇店,静岡市駿河区西脇３０番地の１,ウエルシア静岡西脇店,1,0,物品販売店舗
ホテル シエル 静岡店,静岡市駿河区西脇３１０番地の１,ホテル シエル 静岡店,3,0,ホテル
ホテル シエル 静岡店,静岡市駿河区西脇３１０番地の１,ホテル シエル 静岡店 駐車場,1,0,駐車場
株式会社　西島鉄工所,静岡市駿河区西脇３１０番地の２,株式会社　西島鉄工所,2,0,工場
Ｃｈｅｚーｓｏｉ西脇,静岡市駿河区西脇３２９番地,Ｃｈｅｚーｓｏｉ西脇,3,0,共同住宅
有限会社小澤商会倉庫,静岡市駿河区西脇３３０番地の１,有限会社小澤商会　倉庫,2,0,倉庫
秀慈会　デイサービス西脇,静岡市駿河区西脇３３番地の１,秀慈会　デイサービス西脇,1,0,老人デイサービスセン
稲垣商店,静岡市駿河区西脇３４０番地,稲垣商店,1,0,
久保田建装株式会社,静岡市駿河区西脇３４２番地の１,久保田建装本店,4,0,事務所
オートガレージモチヅキ,静岡市駿河区西脇３４３番地の３,オートガレージモチヅキ,2,0,作業場
富永産業株式会社第二倉庫,静岡市駿河区西脇３４３番地の３,富永産業株式会社第二倉庫,1,0,倉庫
有限会社マルエヌ・モチヅキ塗装所,静岡市駿河区西脇３４７番地の１,有限会社マルエヌ・モチヅキ塗装所,1,0,作業場
有限会社マルエヌ・モチヅキ塗装所（倉庫）,静岡市駿河区西脇３４７番地の１,有限会社マルエヌ・モチヅキ塗装所（倉庫）,3,0,非特定複合用途
東海道写楽　西脇店,静岡市駿河区西脇３４番地の１,東海道写楽　西脇店,2,0,物品販売店舗
ハイツ海,静岡市駿河区西脇３５０番地の１,ハイツ海,2,0,共同住宅
メッシスマヨコ,静岡市駿河区西脇３５３番地の２,メッシスマヨコ,3,0,共同住宅
株式会社山河　山河神仏具本店,静岡市駿河区西脇３５番地の２,株式会社山河　山河神仏具本店,4,0,(４)項  その他
ディスプレイスタジオ　アドス,静岡市駿河区西脇３６５番地の１,ディスプレイスタジオ　アドス,1,0,作業場
ＧＳ自動車　／　有限会社アクト１０,静岡市駿河区西脇３６６番地の１,ＧＳ自動車　／　有限会社アクト１０,1,0,作業場
株式会社　コーエイ,静岡市駿河区西脇３６８番地の２,株式会社　コーエイ,3,0,作業場
日立工機販売株式会社　中部支社,静岡市駿河区西脇３７１番地,日立工機販売株式会社　中部支社,1,0,倉庫
萩原貸倉庫,静岡市駿河区西脇３７５番地,萩原貸倉庫,2,0,倉庫
サマックスフォレストＡ,静岡市駿河区西脇３７６番地の３,サマックスフォレストＡ,2,0,共同住宅
サマックスフォレストB,静岡市駿河区西脇３７６番地の３,サマックスフォレストB,2,0,共同住宅
萩錦酒造株式会社,静岡市駿河区西脇３８１番地,萩錦酒造株式会社,2,0,工場
萩錦酒造株式会社,静岡市駿河区西脇３８１番地,萩錦酒造株式会社,2,0,倉庫
豊泉工業,静岡市駿河区西脇３８７番地,豊泉工業,2,0,作業場
シティーコーポ西脇,静岡市駿河区西脇３８番地の３,シティーコーポ西脇,3,0,共同住宅
東洋物産株式会社,静岡市駿河区西脇３９８番地,東洋物産株式会社,1,0,倉庫
有限会社　スズキ塗装工芸,静岡市駿河区西脇４００番地,有限会社　スズキ塗装工芸,2,0,作業場
ホテルビィー,静岡市駿河区西脇４１３番地の１,ホテルビィー（ホテル棟）,7,0,ホテル
ホテルビィー,静岡市駿河区西脇４１３番地の１,ホテルビィー（立体駐車場）,1,0,駐車場
ホテルビィー,静岡市駿河区西脇４１３番地の１,ホテルビィー（自走式２段駐車場）,1,0,駐車場
松岡満運輸株式会社　静岡支店,静岡市駿河区西脇４１８番地の１,松岡満運輸株式会社　静岡支店,1,0,(１５)項  その他
株式会社日昭,静岡市駿河区西脇４２番地,株式会社日昭,2,0,物品販売店舗
株式会社ダイマツ,静岡市駿河区西脇４３５番地,株式会社ダイマツ　本社事務所,5,0,事務所
株式会社ダイマツ,静岡市駿河区西脇４３５番地,株式会社ダイマツ　本社車庫倉庫,2,0,倉庫
株式会社ダイマツ,静岡市駿河区西脇４３５番地,株式会社ダイマツ　本社倉庫,4,0,倉庫
北洋木材工業株式会社静岡営業所,静岡市駿河区西脇４３７番地の１,（株）北洋木材工業静岡営業所,1,0,
ＡＢＣマート静岡西脇店,静岡市駿河区西脇４３番地,ＡＢＣマート静岡西脇店,1,0,物品販売店舗
株式会社　日新堂,静岡市駿河区西脇４４３番地,株式会社　日新堂,2,0,作業場
ラフィナートⅡ,静岡市駿河区西脇４５４番地の２,ラフィナートⅡ,3,0,非特定複合用途
有限会社　大明通商,静岡市駿河区西脇４５８番地の１,有限会社　大明通商,2,0,工場
有限会社サンユウプラスチック西脇工場,静岡市駿河区西脇４６６番地の１,有限会社サンユウプラスチック西脇工場,2,0,作業場
有限会社　片岡,静岡市駿河区西脇４６６番地の１,有限会社　片岡,2,0,作業場
有限会社　西脇オートサービス,静岡市駿河区西脇４７０番地の５,有限会社　西脇オ－トサ－ビス,1,0,作業場
有限会社　西脇オートサービス,静岡市駿河区西脇４７０番地の５,有限会社西脇オ－ト　サービス,2,0,事務所
ヤンマー建機株式会社　静岡支店,静岡市駿河区西脇４７１番地の１,ヤンマー建機株式会社　静岡支店,2,0,工場
桔梗マンション,静岡市駿河区西脇４７９番地の１,桔梗マンション,4,0,共同住宅
パシオス静岡西脇店,静岡市駿河区西脇４７番地,パシオス静岡西脇店,1,0,物品販売店舗
ＡＮＧＵＬＵＳ,静岡市駿河区西脇４８５番地の１,ＡＮＧＵＬＵＳ,3,0,共同住宅
ＡＰニシワキ,静岡市駿河区西脇４９３番地の１,ＡＰニシワキ,2,0,共同住宅
青山アパート,静岡市駿河区西脇４９８番地の５,青山アパート,2,0,共同住宅
有限会社メカトロニクス,静岡市駿河区西脇５００番地の２,有限会社メカトロニクス,2,0,作業場
岡村アパート,静岡市駿河区西脇５０２,岡村アパート,2,0,
医療法人社団小林医院,静岡市駿河区西脇５０番地の１,医療法人社団小林医院,3,0,特定複合用途
グループホーム　ファミリア西脇,静岡市駿河区西脇５２１番地の１,グループホーム　ファミリア西脇,2,0,認対型老人共同生活
トパーズ,静岡市駿河区西脇５３番地の１,トパーズ,2,0,共同住宅
田辺抜型・株式会社桐井製作所,静岡市駿河区西脇５５０番地の１,田辺抜型・株式会社桐井製作所,2,0,非特定複合用途
グランシャリオン,静岡市駿河区西脇５５番地の１,グランシャリオン,2,0,共同住宅
株式会社山田建材,静岡市駿河区西脇５７１番地の１,株式会社山田建材,3,0,倉庫
岡村アパート,静岡市駿河区西脇５７２,岡村アパート,2,0,共同住宅
ファインビュ－２１,静岡市駿河区西脇５７５番地の１,ファインビュ－２１,4,0,共同住宅
トラッドハウス,静岡市駿河区西脇５８８番地の１,トラッドハウス,2,0,共同住宅
有限会社　村瀬電工社　倉庫,静岡市駿河区西脇５８番地の１,有限会社　村瀬電工社　倉庫,1,0,倉庫
萩田友太郎倉庫,静岡市駿河区西脇５９３番地,萩田友太郎倉庫,1,0,倉庫
Ｃｏｍｍｏｎ　Ｓｐａｃｅ(コモンスペース),静岡市駿河区西脇５９４番地の４,Ｃｏｍｍｏｎ　Ｓｐａｃｅ(コモンスペース),3,0,特定複合用途
